"","bag_number","depth","act_depth","species","colony_number","site","sample_id","airbrush_volume","surface_area","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_mg.cm2","D","cor_di","cal_di","cor_a","cal_a"
"149","92/ PAN 82",30,31,"AAGA",1,"Turrumote","30AA1T","12","4.593314763",3.06967859324123,1.04499696791191,283020.012055725,2.577985749,0.644632505,0.382772949,9.402,0.35,0.1522,0.1156,0.017
"150","100/ PAN 90",30,29,"AAGA",2,"Turrumote","30AA2T","23","13.6908078",3.77990844338637,4.03190233961213,324792.132857201,4.219567794,0.880718667,1.29975575,13.682,0.3311,0.1932,0.0876,0.0298
"151","115",30,30,"AAGA",3,"Turrumote","30AA3T","16","6.295264624",4.57486725660478,3.55823008847038,1566256.63715705,5.657479941,1.563079646,1.220783277,11.705,0.3384,0.1908,0.0918,0.0284
"152","120",30,30,"AAGA",4,"Turrumote","30AA4T","33","11.70194986",4.3005653418515,1.97402999298102,915338.907365648,5.382075274,1.260418151,1.491396752,9.201,0.4083,0.1827,0.1366,0.0272
"153","121",30,30,"AAGA",5,"Turrumote","30AA5T","15","5.693593315",5.53253424634527,7.90362035192182,145723.000238558,5.578704562,1.061653804,1.144666822,13.559,0.298,0.1508,0.0818,0.019
"154","25",45,47,"AAGA",1,"Turrumote","45AA1T","30","20.71030641",2.46254203054063,0.289710827122427,550450.571532611,3.106424344,0.668688803,0.670775583,10.281,0.3576,0.1857,0.0984,0.0254
"155","26",45,46,"AAGA",2,"Turrumote","45AA2T","33","16.63509749",4.31467263976942,3.37238781039449,576116.251008518,4.982620333,1.039984888,1.145401786,8.065,0.477,0.1632,0.1812,0.0222
"156","28",45,46,"AAGA",3,"Turrumote","45AA3T","25","14.35654596",4.04867578608023,6.79132712503781,581725.05582255,4.785549291,1.601490711,1.226126309,8.787,0.4225,0.1723,0.1436,0.0186
"157","30",45,47,"AAGA",4,"Turrumote","45AA4T","22","9.423398329",5.48634348193645,4.66922849526506,357974.184559168,4.559345985,1.324368297,1.465067934,9.825,0.3156,0.1574,0.0856,0.0188
"158","34",45,45,"AAGA",5,"Turrumote","45AA5T","17","6.300835655",4.31688770971444,4.58669319157159,108765.334873664,3.397615465,0.85541828,1.22027697,10.972,0.3868,0.1659,0.119,0.0202
"159","55",55,54,"AAGA",1,"Turrumote","55AA1T","13","9.359331476",3.92389136918309,3.61136904774373,162772.042416334,5.30401309,1.14754724,1.312080151,11.948,0.3569,0.1807,0.1062,0.0244
"160","59",55,56,"AAGA",2,"Turrumote","55AA2T","14","6.35097493",2.47993421066772,2.20438596503797,558182.017544195,6.27149644,1.811343947,0.831763945,8.513,0.3777,0.2024,0.1096,0.0322
"161","62",55,54,"AAGA",3,"Turrumote","55AA3T","17","5.849582173",3.48742857125088,4.64990476166784,405958.482122173,5.729409214,1.696634,1.129481837,5.45,0.5463,0.2287,0.2504,0.0376
"162","65",55,56,"AAGA",4,"Turrumote","55AA4T","14","10.22841226",3.25074890948911,3.01122004247412,485901.415944687,9.428529168,2.372430773,1.225781474,3.296,NA,NA,NA,NA
"163","69",55,54,"AAGA",5,"Turrumote","55AA5T","20","8.456824513",3.13356389969588,4.96640316178215,755799.846168571,6.061357103,1.784180336,1.102780816,12.261,0.3294,0.1284,0.0738,0.0118
"164","10",15,15,"CNAT",1,"Turrumote","15CN1AT","16","3.571030641",NA,NA,1100522.62080268,11.88907935,2.347893604,3.538970968,NA,NA,NA,NA,NA
"165","10",15,15,"CNAT",1,"Turrumote","15CN1BT","17","MISSING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","201",15,15,"CNAT",2,"Turrumote","15CN2T","17","21.77994429",3.57094577306653,13.1129811994574,130007.793513966,1.451234964,0.413527229,1.737412656,NA,NA,NA,NA,NA
"167","208",15,16,"CNAT",3,"Turrumote","15CN3T","12","16.08635097",2.40576623450359,14.2481039004708,145931.168875896,2.966141923,1.01353626,1.003562556,NA,NA,NA,NA,NA
"168","269",15,15,"CNAT",4,"Turrumote","15CN4T","16","17.71030641",1.87461465834684,3.79440075424421,NA,1.887631561,0.716238314,0.354037889,NA,NA,NA,NA,NA
"169","272",15,22,"CNAT",5,"Turrumote","15CN5T","24","15.9275766",2.86295907690063,7.23273872059105,NA,7.565369361,1.749983736,0.809892426,NA,NA,NA,NA,NA
"170","94/ PAN 84",30,31,"CNAT",1,"Turrumote","30CN1T","36","60.38718663",1.74374740530945,3.39807186675688,467980.072877921,3.118332059,0.879668403,0.482451352,NA,NA,NA,NA,NA
"171","99/ PAN 89",30,30,"CNAT",2,"Turrumote","30CN2T","22","19.71309192",2.06461777610379,6.13805284787613,416643.587212574,4.582893458,0.719965699,0.746081423,NA,NA,NA,NA,NA
"172","101/ PAN 91",30,30,"CNAT",3,"Turrumote","30CN3T","20","42.99721448",1.84895698387576,4.32586162265272,591898.808045763,3.972978298,1.208229431,0.728356391,NA,NA,NA,NA,NA
"173","111",30,30,"CNAT",4,"Turrumote","30CN4T","16","18.25348189",1.53395391458654,1.31481764107418,NA,2.71085449,0.651316832,0.543923667,NA,NA,NA,NA,NA
"174","114",30,30,"CNAT",5,"Turrumote","30CN5T","23","14.76044568",3.58390262373162,6.54451783464034,538451.070591251,4.121462047,1.379374,1.206407291,NA,NA,NA,NA,NA
"175","18",45,45,"CNAT",1,"Turrumote","45CN1T","25","42.80501393",2.21936617414389,8.05980347452255,92351.9148122375,2.399801618,1.017535588,0.854062159,NA,NA,NA,NA,NA
"176","23",45,46,"CNAT",2,"Turrumote","45CN2T","20","24.25626741",2.32929490118942,8.24529168562625,594348.108978075,1.223724966,0.331852377,0.961622485,NA,NA,NA,NA,NA
"177","39",45,47,"CNAT",3,"Turrumote","45CN3T","13.5","16.1448468",4.55718167607512,18.2287267043005,NA,9.936481714,3.008178901,1.140699592,NA,NA,NA,NA,NA
"178","42",45,42,"CNAT",4,"Turrumote","45CN4T","19","31.17270195",2.07232597622164,7.49694397280182,NA,0.766892671,0.220763667,1.052683916,NA,NA,NA,NA,NA
"179","43",45,44,"CNAT",5,"Turrumote","45CN5T","29","26.02228412",0.807961357390636,5.46070434650223,216268.966784304,5.723756133,1.652977494,1.887476707,NA,NA,NA,NA,NA
"180","45",45,47,"CNAT",6,"Turrumote","45CN6T","38","50.39554318",2.43176265731044,5.57985850049528,346018.252366419,6.074643656,1.75380985,0.743594358,NA,NA,NA,NA,NA
