"HERS","Species"
0.116088470095248,"AAGA4"
0.188609821414513,"AAGA9"
0.00236531098683675,"AAGA13"
0.545926574382589,"AAGA16"
0.213167898699689,"MCAV4"
1.50506949181781e-08,"MCAV9"
0.0342511844913265,"MCAV13"
1.9073486328125e-06,"MCAV16"
0.317162060323572,"OFAV4"
NA,"OFAV13"
0.0726991698968219,"OFAV16"
0.500000000000001,"OFRA4"
0.000422795613606771,"OFRA9"
0.0152791627716318,"OFRA13"
1.96183717999015e-17,"OFRA16"
0.456692667088053,"PAST4"
4.14353742786915e-06,"PAST9"
0.568424545802409,"PAST13"
0.000100034037781131,"PAST16"
0.0925442498920826,"PPOR9"
0.300255448168846,"PPOR13"
0.572245800483867,"PPOR16"
0.0319878321955455,"AAGA4"
0.0270968404926937,"AAGA9"
0.82924154222739,"AAGA13"
0.302145805810081,"AAGA16"
0.361186072341634,"MCAV4"
0.0432674980622524,"MCAV13"
0,"MCAV16"
0.277690621251984,"OFAV4"
0.00352827707926433,"OFAV9"
4.75958273927574e-07,"OFAV13"
0.00546720344950323,"OFAV16"
0.459112140527084,"OFRA4"
3.30719314471668e-18,"OFRA9"
0,"OFRA13"
0.177059892191233,"OFRA16"
0.511254400240591,"PAST4"
0.00030676523844401,"PAST9"
0.28981592634628,"PAST13"
0.61406034824105,"PAST16"
0.190479160177278,"PPOR4"
0.0710405392645521,"PPOR9"
0.268800056358484,"PPOR13"
0.444682093684611,"PPOR16"
3.05296304066281e-05,"AAGA4"
0.334624905629716,"AAGA9"
0.895630860382625,"AAGA13"
0.482140037111434,"AAGA16"
0.170688918404016,"MCAV4"
Inf,"MCAV9"
0,"MCAV13"
1.91474010710731e-18,"MCAV16"
0.0955656874632274,"OFAV4"
0.957020351060856,"OFAV13"
7.837079862975e-16,"OFAV16"
0.220347920461079,"OFRA4"
6.45879788466446e-16,"OFRA9"
0,"OFRA13"
0.136968762852618,"OFRA16"
0.509625456628349,"PAST4"
0.00203865895114472,"PAST9"
0.571613748439461,"PAST13"
0.0122828462397251,"PAST16"
0.134113817286453,"PPOR4"
0.00636911827193027,"PPOR9"
0.240066047053889,"PPOR13"
0.195650773797298,"PPOR16"
0.0966090864110166,"AAGA4"
0.0161794291940794,"AAGA9"
0.998488591301987,"AAGA13"
0.103196921908945,"AAGA16"
0.381473474417323,"MCAV4"
0.0394003635200752,"MCAV13"
0.229052002001951,"MCAV16"
0.309287882849829,"OFAV4"
0.001373291015625,"OFAV9"
Inf,"OFAV13"
9.11978132095246e-18,"OFAV16"
0.610375005595211,"OFRA4"
0.0797767828671341,"OFRA9"
0,"OFRA13"
1.5331703948576e-15,"OFRA16"
0.49180004233987,"PAST4"
1.41899928598962e-17,"PAST9"
