"HERS","Species"
0.186856042914791,"MCAV4"
0.0412730978880975,"MCAV13"
0,"MCAV16"
2.47482933140731e-17,"OFAV4"
0.0044318437576294,"OFAV9"
0.000463801144158055,"OFAV13"
0.263158665176674,"OFAV16"
0.719442844207588,"OFRA4"
3.77400609970368e-16,"OFRA9"
0,"OFRA13"
0.00228550866388819,"OFRA16"
0.296333974318879,"PAST4"
0.224417033367956,"PAST9"
1.81586156973213e-10,"PAST13"
2.01322601449758e-17,"PAST16"
0.360950940992386,"PPOR4"
0.00255377240716315,"PPOR9"
1.66096055611423e-16,"PPOR16"
0.0777573390013585,"AAGA4"
NA,"AAGA13"
0.294420642599407,"AAGA16"
NA,"MCAV4"
0.345072036192741,"MCAV9"
0.350518178236966,"MCAV16"
0.278884568937465,"OFAV4"
0.000268936157226562,"OFAV9"
0.184448481730148,"OFAV13"
0.00135326385498047,"OFAV16"
0.0361662498042278,"OFRA4"
0.0973366945056903,"OFRA9"
0,"OFRA13"
0.00598970307330044,"OFRA16"
0.0642700735158629,"PAST4"
0.647216823477244,"PAST9"
0.590926728594756,"PAST13"
0.619300281797225,"PAST16"
0.163412132972128,"PPOR4"
Inf,"PPOR13"
NA,"PPOR16"
0.0319131594560265,"AAGA4"
0.00247853000958761,"AAGA13"
0.136067562923925,"MCAV4"
0.0427125525193134,"MCAV13"
0,"MCAV16"
0.231254029103912,"OFAV4"
1,"OFAV13"
0.196024007199707,"OFAV16"
0.301241369069392,"OFRA4"
Inf,"OFRA9"
1.0816473310909e-18,"OFRA13"
1.24167130010529e-15,"OFRA16"
Inf,"PAST9"
0.761268743056349,"PAST13"
0.574176599918641,"PAST16"
0.37558827449962,"PPOR4"
0.109850100466552,"PPOR9"
9.19140225121091e-18,"PPOR13"
0.106723244858235,"AAGA4"
0.247711631178231,"AAGA9"
0.10597017133174,"AAGA16"
0.389112454454412,"MCAV4"
0.0020604133605957,"MCAV9"
0,"MCAV13"
0.28154600584622,"MCAV16"
1.27653226984743e-16,"OFAV4"
0.657354576290025,"OFAV9"
0.00206375122070313,"OFAV16"
0.257441610587601,"OFRA4"
0.000155536194725561,"OFRA9"
4.85222232456649e-18,"OFRA13"
0.203018088172241,"OFRA16"
0.362785350563379,"PAST4"
0.000154405832290649,"PAST9"
2.54673824839263e-09,"PAST13"
NA,"PAST16"
0.43013502724219,"PPOR4"
1.33763913401473e-16,"PPOR9"
2.2603961724695e-17,"PPOR13"
0.163482596590526,"AAGA4"
1.47913310036326e-17,"AAGA9"
0.968641099328021,"AAGA13"
0.00172980176284909,"AAGA16"
0.0712388177248795,"MCAV4"
2.04358678813879e-17,"MCAV9"
0.0379382010381139,"MCAV13"
0.219173262573376,"MCAV16"
0.208558404825526,"OFAV4"
