"depth","measurement","mean","SD"
"deep","DO_mg.L",7.46308432934927,0.343256320160178
"deep","LightRaw",10.4250865077058,14.4886640738237
"deep","Temp_C",29.3740454847278,0.267712025912781
"deep","daylight",160.479625468165,164.431949470753
"shallow","DO_mg.L",7.02095368525896,0.695862592937036
"shallow","LightRaw",73.7583434899871,89.7581774334387
"shallow","Temp_C",29.3905826693227,0.288833939109112
"shallow","daylight",1136.66028708134,973.063604722119
