"species","depth","sym_SEAc","host_SEAc","overlap","centroid_distance","metric","value"
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_host_AFDW",3.50932403372708
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_sym_AFDW",7.37475685658291
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_sym",553860.631213531
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_chl",4.5380757373
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_prot",0.7737253354
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_D",2.0206
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_cor_di",0.539477777777778
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_cor_a",0.232311111111111
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_cal_di",0.872648148148148
"MCAV",4.57,4.79747328556492,1.39771379007889,0.021608987805793,2.2591019620944,"mean_cal_a",0.601466666666667
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_host_AFDW",3.45780755915922
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_sym_AFDW",5.27146379586944
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_sym",506610.572768373
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_chl",4.3979188578
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_prot",0.8362241159
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_D",1.7503
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_cor_di",0.60501
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_cor_a",0.275874074074074
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_cal_di",0.953453703703704
"MCAV",9.14,4.77101261882241,3.04216692408466,0.129336419939515,2.93717751888803,"mean_cal_a",0.714568518518519
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_host_AFDW",2.6356861795566
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_sym_AFDW",4.33831747145853
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_sym",303033.797162235
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_chl",3.8099577254
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_prot",0.6083822222
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_D",1.3314
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_cor_di",0.665253333333333
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_cor_a",0.299861904761905
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_cal_di",0.96737619047619
"MCAV",13.72,1.71866993400299,2.24028134551446,0,4.10306722583019,"mean_cal_a",0.700533333333333
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_host_AFDW",3.39898966525339
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_sym_AFDW",6.12201922487918
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_sym",256599.670981464
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_chl",4.0569133411
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_prot",0.8219929559
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_D",1.3628
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_cor_di",0.636372222222222
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_cor_a",0.29447619047619
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_cal_di",1.00093541666667
"MCAV",16.76,3.26714371692683,1.41326936216551,0,2.99768529506277,"mean_cal_a",0.761085714285714
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_host_AFDW",2.95503842304039
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_sym_AFDW",4.31714507591757
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_sym",673061.698741933
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_chl",4.8426159496
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_prot",0.976071102272727
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_D",14.08925
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_cor_di",0.318633333333333
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_cor_a",0.0852833333333333
"AAGA",4.57,1.73369099693367,2.09220493264565,0.0162958627996858,1.0451597849802,"mean_cal_di",0.168008333333333
