"Species","mean_value","median_value","sd_value","ci_lower","ci_upper"
"AAGA",0.630410685780537,0.64266905843259,0.144839736080881,0.627588422600606,0.633232948960468
"MCAV",0.29176258459391,0.295668729169103,0.07760215837375,0.290250473897029,0.293274695290792
"OFAV",0.411548616858963,0.398650942455044,0.0826700021578296,0.409937757094315,0.41315947662361
"OFRA",0.269639160127311,0.274030088197652,0.0836843084153249,0.268008536178599,0.271269784076023
"PAST",0.762630480491389,0.776800821039557,0.096515499020719,0.760749835396684,0.764511125586094
"PPOR",0.533471822541194,0.536330682549213,0.157332505624905,0.530406132491997,0.53653751259039
